name,quadrant,ring,isNew,description
Fairseq,languages-and-frameworks,Assess,TRUE,"<p><strong><a href=""https://github.com/pytorch/fairseq"">Fairseq</a></strong> is a sequence-to-sequence modelling toolkit by Facebook AI Research that allows researchers and developers to train custom models for translation, summarization, language modeling and other NLP tasks. For users of <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/pytorch"">PyTorch</a>, this is a good choice. It provides reference implementations of various sequence-to-sequence models; supports distributed training across multiple GPUs and machines; is very extensible; and has a bunch of pretrained models, including <a href=""https://github.com/pytorch/fairseq/blob/master/examples/roberta/README.md"">RoBERTa</a> which is an optimization on top of <a href=""https://www.thoughtworks.com/radar/techniques/bert"">BERT</a>.</p>"
Flair,languages-and-frameworks,Assess,TRUE,"<p><strong><a href=""https://github.com/zalandoresearch/flair"">Flair</a></strong> is a simple Python-based framework for NLP processing. It allows users to do standard NLP tasks such as <a href=""https://en.wikipedia.org/wiki/Named-entity_recognition"">named entity recognition (NER)</a>, <a href=""https://en.wikipedia.org/wiki/Part-of-speech_tagging"">part-of-speech tagging (PoS)</a>, <a href=""https://en.wikipedia.org/wiki/Word-sense_disambiguation"">word-sense disambiguation</a> and classification and performs well on a range of NLP tasks. Flair presents a simple and unified interface for a variety of word and document embeddings, including <a href=""https://www.thoughtworks.com/radar/techniques/bert"">BERT</a>, Elmo and its own Flair embeddings. It also has multilingual support. The framework itself is built on top of <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/pytorch"">PyTorch</a>. We're using it in some of our projects and like its ease of use and powerful abstractions.</p>"
Gatsby.js,languages-and-frameworks,Assess,TRUE,"<p><strong><a href=""https://www.gatsbyjs.org/"">Gatsby.js</a></strong> is a framework to write web applications in an architectural style known as <a href=""https://www.thoughtworks.com/radar/techniques/jamstack"">JAMstack</a>. Part of the application is generated at build time and deployed as a static site, while the remainder of the functionality is implemented as a <a href=""https://en.wikipedia.org/wiki/Progressive_web_applications"">progressive web application (PWA)</a> running in the browser. Such applications work without code running on the server side. Usually, though, the PWA makes calls to third-party APIs and SaaS solutions for content management, for example. In the case of Gatsby.js, all client and build time code is written using React. The framework includes some optimizations to make the web application feel fast. It provides code and data splitting out of the box to minimize load times and speeds up performance when navigating the application by prefetching resources. APIs are called via <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/graphql"">GraphQL</a> and several plugins simplify integration with existing services.</p>"
GraphQL,languages-and-frameworks,Assess,FALSE,"<p>We've seen many successful <strong><a href=""https://github.com/facebook/graphql"">GraphQL</a></strong> implementations on our projects. We've seen some interesting patterns of use too, including <a href=""https://www.thoughtworks.com/radar/techniques/graphql-for-server-side-resource-aggregation"">GraphQL for server-side resource aggregation</a>. That said, we've concerns about misuse of this framework and some of the problems that can occur. Examples include performance gotchas around N+1 queries and lots of boilerplate code needed when adding new models, leading to complexity. There are workarounds to these gotchas such as query caching. Even though it's not a silver bullet, we still think it's worth assessing as part of your architecture.</p>"
KotlinTest,languages-and-frameworks,Assess,TRUE,"<p><strong><a href=""https://github.com/kotlintest/kotlintest"">KotlinTest</a></strong> is a stand-alone testing tool for the <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/kotlin"">Kotlin</a> ecosystem that our teams have come to like. It allows <a href=""https://www.thoughtworks.com/radar/techniques/property-based-unit-testing"">property-based testing</a>, a technique we've highlighted in the Radar before. Key advantages are that it offers a variety of testing styles in order to structure the test suites and that it comes with a comprehensive set of matchers, which allow for expressive tests in an elegant internal DSL.</p>"
NestJS,languages-and-frameworks,Assess,TRUE,"<p><strong><a href=""https://nestjs.com/"">NestJS</a></strong> is a server-side Node.js framework written in <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/typescript"">TypeScript</a>. By integrating the rich ecology of the Node.js community, NestJS provides an out-of-the-box application architecture. The mental model to develop NestJS is similar to the server-side version of Angular or the TypeScript version of Spring Boot, so the learning curve for developers is low. NestJS supports protocols such as <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/graphql"">GraphQL</a>, Websocket and ORM libraries.</p>"
Paged.js,languages-and-frameworks,Assess,TRUE,"<p>When using HTML and related technologies to produce books and other print output, the question of pagination must be considered. This includes page counters, repeated elements in headers and footers, as well as mechanisms to avoid awkward page breaks. <strong><a href=""https://www.pagedmedia.org/paged-js/"">Paged.js</a></strong> is an open-source library that implements a series of polyfills for the <a href=""https://www.w3.org/TR/css-page-3/"">Paged Media</a> and <a href=""https://www.w3.org/TR/css-gcpm-3/"">Generated Content for Paged Media</a> CSS modules. It is still experimental but fills an important gap in the ""write once, publish everywhere"" story for HTML.</p>"
Quarkus,languages-and-frameworks,Assess,TRUE,"<p><strong><a href=""https://quarkus.io/"">Quarkus</a></strong> is a cloud-native, container-first framework by Red Hat for writing Java applications. It has a very fast startup time (tens of milliseconds) and has low memory utilization which makes it a good candidate for FaaS or frequent scaling up and down in a container orchestrator. Like <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/micronaut"">Micronaut</a>, Quarkus achieves this by using ahead-of-time compilation techniques to do dependency injection at compile time and avoid the runtime costs of reflection. It also works well with <a href=""https://www.thoughtworks.com/radar/platforms/graalvm"">GraalVM</a>'s Native Image which further reduces startup time. Quarkus supports both imperative and reactive models. Along with Micronaut and <a href=""https://helidon.io/#/"">Helidon</a>, Quarkus is leading the charge on the new generation of Java frameworks which attempt to address startup performance and memory without sacrificing developer effectiveness. It's gained a lot of community attention and is worth keeping an eye on.</p>"
SwiftUI,languages-and-frameworks,Assess,TRUE,"<p>Apple has taken a big step forward with their new <strong><a href=""https://developer.apple.com/xcode/swiftui/"">SwiftUI</a></strong> framework for implementing user interfaces on macOS and iOS platforms. We like that SwiftUI moves beyond the somewhat kludgy relationship between Interface Builder and XCode and adopts a coherent, declarative and code-centric approach. You can now view your code and the resulting visual interface side by side in XCode 11, making for a much better developer experience. The SwiftUI framework also draws inspiration from the <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/react-js"">React.js</a> world that has dominated web development in recent years. Immutable values in view models and an asynchronous update mechanism make for a unified reactive programming model. This gives developers an entirely native alternative to similar reactive frameworks such as <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/react-native"">React Native</a> or <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/flutter"">Flutter</a>. Although SwiftUI definitely represents the future of Apple UI development, it is quite new and it will take time to smooth out the rough edges. We look forward to improved documentation and a community of developers who can establish a set of practices for testing and other engineering concerns.</p>"
Testcontainers,languages-and-frameworks,Assess,TRUE,"<p>Creating reliable environments for running automated tests is a perennial problem, particularly as the number of components that modern systems depend on keeps increasing. <strong><a href=""https://www.testcontainers.org/"">Testcontainers</a></strong> is a Java library that helps mitigate this challenge by managing dockerized dependencies for your tests. This is particularly useful for spinning up repeatable database instances or similar infrastructure, but it can also be used in web browsers for UI testing. Our teams have found this library to be helpful for making integration tests more reliable with these programmable, lightweight and disposable containers.</p>"
Enzyme,languages-and-frameworks,Hold,TRUE,"<p>We don't always move deprecated tools to Hold in the Radar, but our teams feel strongly that <strong><a href=""http://airbnb.io/enzyme/"">Enzyme</a></strong> has been replaced for unit testing <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/react-js"">React</a> UI components by <a href=""https://testing-library.com/docs/intro"">React Testing Library</a>. Teams using Enzyme have found that its focus on testing component internals leads to brittle, unmaintainable tests.</p>"
